Job ID : 16765
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : sam. 21 mars 2026 00:42:11 CET

=== Study 1: RBM hidden units ===
  q=50 ...   Saved outputs/alpha_study/rbm_hidden_q50.png
  q=100 ...   Saved outputs/alpha_study/rbm_hidden_q100.png
  q=200 ...   Saved outputs/alpha_study/rbm_hidden_q200.png
  q=500 ...   Saved outputs/alpha_study/rbm_hidden_q500.png
  Summary saved.

=== Study 2: RBM epochs ===
  epochs=50 ...   Saved outputs/alpha_study/rbm_epochs_50.png
  epochs=100 ...   Saved outputs/alpha_study/rbm_epochs_100.png
  epochs=200 ...   Saved outputs/alpha_study/rbm_epochs_200.png
  epochs=500 ...   Saved outputs/alpha_study/rbm_epochs_500.png
  Summary saved.

=== Study 3: RBM number of classes ===
  1 class (A) ...   Saved outputs/alpha_study/rbm_classes_1.png
  3 classes (A,B,C) ...   Saved outputs/alpha_study/rbm_classes_3.png
  6 classes (A–F) ...   Saved outputs/alpha_study/rbm_classes_6.png
  10 classes (A–J) ...   Saved outputs/alpha_study/rbm_classes_10.png
  Summary saved.

=== Study 4: DBN depth ===
  1 RBM layer ... 
--- Training RBM layer 1/1 ---
Epoch 1/100 - MSE: 0.2317
Epoch 2/100 - MSE: 0.2298
Epoch 3/100 - MSE: 0.2290
Epoch 4/100 - MSE: 0.2281
Epoch 5/100 - MSE: 0.2277
Epoch 6/100 - MSE: 0.2266
Epoch 7/100 - MSE: 0.2256
Epoch 8/100 - MSE: 0.2239
Epoch 9/100 - MSE: 0.2224
Epoch 10/100 - MSE: 0.2199
Epoch 11/100 - MSE: 0.2169
Epoch 12/100 - MSE: 0.2134
Epoch 13/100 - MSE: 0.2094
Epoch 14/100 - MSE: 0.2044
Epoch 15/100 - MSE: 0.1997
Epoch 16/100 - MSE: 0.1958
Epoch 17/100 - MSE: 0.1923
Epoch 18/100 - MSE: 0.1890
Epoch 19/100 - MSE: 0.1850
Epoch 20/100 - MSE: 0.1816
Epoch 21/100 - MSE: 0.1780
Epoch 22/100 - MSE: 0.1753
Epoch 23/100 - MSE: 0.1728
Epoch 24/100 - MSE: 0.1704
Epoch 25/100 - MSE: 0.1678
Epoch 26/100 - MSE: 0.1655
Epoch 27/100 - MSE: 0.1636
Epoch 28/100 - MSE: 0.1613
Epoch 29/100 - MSE: 0.1591
Epoch 30/100 - MSE: 0.1572
Epoch 31/100 - MSE: 0.1547
Epoch 32/100 - MSE: 0.1526
Epoch 33/100 - MSE: 0.1506
Epoch 34/100 - MSE: 0.1486
Epoch 35/100 - MSE: 0.1465
Epoch 36/100 - MSE: 0.1447
Epoch 37/100 - MSE: 0.1426
Epoch 38/100 - MSE: 0.1405
Epoch 39/100 - MSE: 0.1391
Epoch 40/100 - MSE: 0.1369
Epoch 41/100 - MSE: 0.1349
Epoch 42/100 - MSE: 0.1331
Epoch 43/100 - MSE: 0.1311
Epoch 44/100 - MSE: 0.1294
Epoch 45/100 - MSE: 0.1273
Epoch 46/100 - MSE: 0.1260
Epoch 47/100 - MSE: 0.1239
Epoch 48/100 - MSE: 0.1222
Epoch 49/100 - MSE: 0.1206
Epoch 50/100 - MSE: 0.1191
Epoch 51/100 - MSE: 0.1175
Epoch 52/100 - MSE: 0.1159
Epoch 53/100 - MSE: 0.1143
Epoch 54/100 - MSE: 0.1129
Epoch 55/100 - MSE: 0.1115
Epoch 56/100 - MSE: 0.1101
