Job ID : 16766
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : sam. 21 mars 2026 00:42:23 CET
Device: cuda
Loading MNIST...
  RBM/DBN training set: torch.Size([10000, 784])
  VAE training set:     torch.Size([60000, 784])

=== Training RBM ===
Epoch 1/100 - MSE: 0.0623
Epoch 2/100 - MSE: 0.0512
Epoch 3/100 - MSE: 0.0447
Epoch 4/100 - MSE: 0.0404
Epoch 5/100 - MSE: 0.0371
Epoch 6/100 - MSE: 0.0350
Epoch 7/100 - MSE: 0.0332
Epoch 8/100 - MSE: 0.0315
Epoch 9/100 - MSE: 0.0300
Epoch 10/100 - MSE: 0.0286
Epoch 11/100 - MSE: 0.0277
Epoch 12/100 - MSE: 0.0269
Epoch 13/100 - MSE: 0.0261
Epoch 14/100 - MSE: 0.0254
Epoch 15/100 - MSE: 0.0245
Epoch 16/100 - MSE: 0.0240
Epoch 17/100 - MSE: 0.0236
Epoch 18/100 - MSE: 0.0229
Epoch 19/100 - MSE: 0.0223
Epoch 20/100 - MSE: 0.0218
Epoch 21/100 - MSE: 0.0215
Epoch 22/100 - MSE: 0.0212
Epoch 23/100 - MSE: 0.0207
Epoch 24/100 - MSE: 0.0203
Epoch 25/100 - MSE: 0.0200
Epoch 26/100 - MSE: 0.0197
Epoch 27/100 - MSE: 0.0193
Epoch 28/100 - MSE: 0.0192
Epoch 29/100 - MSE: 0.0188
Epoch 30/100 - MSE: 0.0186
Epoch 31/100 - MSE: 0.0184
Epoch 32/100 - MSE: 0.0181
Epoch 33/100 - MSE: 0.0180
Epoch 34/100 - MSE: 0.0177
Epoch 35/100 - MSE: 0.0174
Epoch 36/100 - MSE: 0.0172
Epoch 37/100 - MSE: 0.0171
Epoch 38/100 - MSE: 0.0167
Epoch 39/100 - MSE: 0.0167
Epoch 40/100 - MSE: 0.0165
Epoch 41/100 - MSE: 0.0164
Epoch 42/100 - MSE: 0.0163
Epoch 43/100 - MSE: 0.0160
Epoch 44/100 - MSE: 0.0159
Epoch 45/100 - MSE: 0.0156
Epoch 46/100 - MSE: 0.0156
Epoch 47/100 - MSE: 0.0153
Epoch 48/100 - MSE: 0.0152
Epoch 49/100 - MSE: 0.0152
Epoch 50/100 - MSE: 0.0151
Epoch 51/100 - MSE: 0.0149
Epoch 52/100 - MSE: 0.0147
Epoch 53/100 - MSE: 0.0147
Epoch 54/100 - MSE: 0.0147
Epoch 55/100 - MSE: 0.0145
Epoch 56/100 - MSE: 0.0143
Epoch 57/100 - MSE: 0.0142
Epoch 58/100 - MSE: 0.0140
Epoch 59/100 - MSE: 0.0140
Epoch 60/100 - MSE: 0.0140
Epoch 61/100 - MSE: 0.0139
Epoch 62/100 - MSE: 0.0138
Epoch 63/100 - MSE: 0.0137
Epoch 64/100 - MSE: 0.0136
Epoch 65/100 - MSE: 0.0134
Epoch 66/100 - MSE: 0.0134
Epoch 67/100 - MSE: 0.0132
Epoch 68/100 - MSE: 0.0133
Epoch 69/100 - MSE: 0.0132
Epoch 70/100 - MSE: 0.0130
Epoch 71/100 - MSE: 0.0131
Epoch 72/100 - MSE: 0.0129
Epoch 73/100 - MSE: 0.0128
Epoch 74/100 - MSE: 0.0128
Epoch 75/100 - MSE: 0.0127
Epoch 76/100 - MSE: 0.0127
Epoch 77/100 - MSE: 0.0126
Epoch 78/100 - MSE: 0.0126
Epoch 79/100 - MSE: 0.0125
Epoch 80/100 - MSE: 0.0125
Epoch 81/100 - MSE: 0.0124
Epoch 82/100 - MSE: 0.0124
Epoch 83/100 - MSE: 0.0123
Epoch 84/100 - MSE: 0.0122
Epoch 85/100 - MSE: 0.0121
Epoch 86/100 - MSE: 0.0120
Epoch 87/100 - MSE: 0.0121
Epoch 88/100 - MSE: 0.0120
Epoch 89/100 - MSE: 0.0119
Epoch 90/100 - MSE: 0.0119
Epoch 91/100 - MSE: 0.0118
Epoch 92/100 - MSE: 0.0119
Epoch 93/100 - MSE: 0.0117
Epoch 94/100 - MSE: 0.0117
Epoch 95/100 - MSE: 0.0116
Epoch 96/100 - MSE: 0.0116
Epoch 97/100 - MSE: 0.0115
Epoch 98/100 - MSE: 0.0115
Epoch 99/100 - MSE: 0.0115
Epoch 100/100 - MSE: 0.0115

=== Training DBN ===

--- Training RBM layer 1/2 ---
Epoch 1/100 - MSE: 0.0628
Epoch 2/100 - MSE: 0.0511
Epoch 3/100 - MSE: 0.0445
Epoch 4/100 - MSE: 0.0410
Epoch 5/100 - MSE: 0.0374
Epoch 6/100 - MSE: 0.0349
Epoch 7/100 - MSE: 0.0329
Epoch 8/100 - MSE: 0.0312
Epoch 9/100 - MSE: 0.0298
Epoch 10/100 - MSE: 0.0289
Epoch 11/100 - MSE: 0.0279
Epoch 12/100 - MSE: 0.0269
Epoch 13/100 - MSE: 0.0260
Epoch 14/100 - MSE: 0.0253
Epoch 15/100 - MSE: 0.0249
Epoch 16/100 - MSE: 0.0242
Epoch 17/100 - MSE: 0.0234
Epoch 18/100 - MSE: 0.0229
Epoch 19/100 - MSE: 0.0223
Epoch 20/100 - MSE: 0.0220
Epoch 21/100 - MSE: 0.0218
Epoch 22/100 - MSE: 0.0213
Epoch 23/100 - MSE: 0.0207
Epoch 24/100 - MSE: 0.0205
Epoch 25/100 - MSE: 0.0202
Epoch 26/100 - MSE: 0.0199
Epoch 27/100 - MSE: 0.0195
Epoch 28/100 - MSE: 0.0192
Epoch 29/100 - MSE: 0.0190
Epoch 30/100 - MSE: 0.0187
Epoch 31/100 - MSE: 0.0185
Epoch 32/100 - MSE: 0.0183
Epoch 33/100 - MSE: 0.0179
