Job ID : 16758
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : ven. 20 mars 2026 23:49:08 CET
Data shape: torch.Size([108, 320])

--- Training RBM layer 1/2 ---
Epoch 1/100 - MSE: 0.2323
Epoch 2/100 - MSE: 0.2294
Epoch 3/100 - MSE: 0.2288
Epoch 4/100 - MSE: 0.2282
Epoch 5/100 - MSE: 0.2273
Epoch 6/100 - MSE: 0.2263
Epoch 7/100 - MSE: 0.2252
Epoch 8/100 - MSE: 0.2240
Epoch 9/100 - MSE: 0.2221
Epoch 10/100 - MSE: 0.2196
Epoch 11/100 - MSE: 0.2167
Epoch 12/100 - MSE: 0.2135
Epoch 13/100 - MSE: 0.2089
Epoch 14/100 - MSE: 0.2049
Epoch 15/100 - MSE: 0.2007
Epoch 16/100 - MSE: 0.1970
Epoch 17/100 - MSE: 0.1935
Epoch 18/100 - MSE: 0.1900
Epoch 19/100 - MSE: 0.1868
Epoch 20/100 - MSE: 0.1834
Epoch 21/100 - MSE: 0.1806
Epoch 22/100 - MSE: 0.1771
Epoch 23/100 - MSE: 0.1741
Epoch 24/100 - MSE: 0.1716
Epoch 25/100 - MSE: 0.1692
Epoch 26/100 - MSE: 0.1663
Epoch 27/100 - MSE: 0.1639
Epoch 28/100 - MSE: 0.1618
Epoch 29/100 - MSE: 0.1599
Epoch 30/100 - MSE: 0.1576
Epoch 31/100 - MSE: 0.1551
Epoch 32/100 - MSE: 0.1532
Epoch 33/100 - MSE: 0.1507
Epoch 34/100 - MSE: 0.1490
Epoch 35/100 - MSE: 0.1469
Epoch 36/100 - MSE: 0.1447
Epoch 37/100 - MSE: 0.1431
Epoch 38/100 - MSE: 0.1412
Epoch 39/100 - MSE: 0.1393
Epoch 40/100 - MSE: 0.1372
Epoch 41/100 - MSE: 0.1355
Epoch 42/100 - MSE: 0.1337
Epoch 43/100 - MSE: 0.1320
Epoch 44/100 - MSE: 0.1299
Epoch 45/100 - MSE: 0.1282
Epoch 46/100 - MSE: 0.1266
Epoch 47/100 - MSE: 0.1246
Epoch 48/100 - MSE: 0.1228
Epoch 49/100 - MSE: 0.1211
Epoch 50/100 - MSE: 0.1195
