Job ID : 16760
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : ven. 20 mars 2026 23:57:02 CET
PyTorch version: 2.9.1+cu128
CUDA available : True
CUDA device    : NVIDIA L40S
Using device: cuda
Train: torch.Size([60000, 784]), Test: torch.Size([10000, 784])

=== Fig 1: layers ===

Architecture: [784, 200, 200, 10]

[Pretraining DNN1]

--- Training RBM layer 1/2 ---
Epoch 1/100 - MSE: 0.0359
Epoch 2/100 - MSE: 0.0285
Epoch 3/100 - MSE: 0.0251
Epoch 4/100 - MSE: 0.0228
Epoch 5/100 - MSE: 0.0213
Epoch 6/100 - MSE: 0.0201
Epoch 7/100 - MSE: 0.0191
Epoch 8/100 - MSE: 0.0184
Epoch 9/100 - MSE: 0.0177
Epoch 10/100 - MSE: 0.0171
Epoch 11/100 - MSE: 0.0167
Epoch 12/100 - MSE: 0.0163
Epoch 13/100 - MSE: 0.0160
Epoch 14/100 - MSE: 0.0156
Epoch 15/100 - MSE: 0.0154
Epoch 16/100 - MSE: 0.0151
Epoch 17/100 - MSE: 0.0149
Epoch 18/100 - MSE: 0.0147
Epoch 19/100 - MSE: 0.0145
Epoch 20/100 - MSE: 0.0144
Epoch 21/100 - MSE: 0.0142
Epoch 22/100 - MSE: 0.0140
Epoch 23/100 - MSE: 0.0139
Epoch 24/100 - MSE: 0.0138
Epoch 25/100 - MSE: 0.0137
Epoch 26/100 - MSE: 0.0136
Epoch 27/100 - MSE: 0.0135
Epoch 28/100 - MSE: 0.0134
Epoch 29/100 - MSE: 0.0133
Epoch 30/100 - MSE: 0.0132
Epoch 31/100 - MSE: 0.0131
Epoch 32/100 - MSE: 0.0130
Epoch 33/100 - MSE: 0.0130
Epoch 34/100 - MSE: 0.0129
Epoch 35/100 - MSE: 0.0128
Epoch 36/100 - MSE: 0.0128
Epoch 37/100 - MSE: 0.0127
Epoch 38/100 - MSE: 0.0127
Epoch 39/100 - MSE: 0.0126
Epoch 40/100 - MSE: 0.0126
Epoch 41/100 - MSE: 0.0125
Epoch 42/100 - MSE: 0.0124
Epoch 43/100 - MSE: 0.0124
Epoch 44/100 - MSE: 0.0124
Epoch 45/100 - MSE: 0.0123
Epoch 46/100 - MSE: 0.0123
Epoch 47/100 - MSE: 0.0122
Epoch 48/100 - MSE: 0.0122
Epoch 49/100 - MSE: 0.0122
Epoch 50/100 - MSE: 0.0121
Epoch 51/100 - MSE: 0.0121
Epoch 52/100 - MSE: 0.0121
Epoch 53/100 - MSE: 0.0120
Epoch 54/100 - MSE: 0.0120
Epoch 55/100 - MSE: 0.0120
Epoch 56/100 - MSE: 0.0119
