Job ID : 16756
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : ven. 20 mars 2026 23:47:56 CET
Data shape: torch.Size([108, 320])
Epoch 1/100 - MSE: 0.2321
Epoch 2/100 - MSE: 0.2299
Epoch 3/100 - MSE: 0.2289
Epoch 4/100 - MSE: 0.2282
Epoch 5/100 - MSE: 0.2272
Epoch 6/100 - MSE: 0.2266
Epoch 7/100 - MSE: 0.2252
Epoch 8/100 - MSE: 0.2237
Epoch 9/100 - MSE: 0.2214
Epoch 10/100 - MSE: 0.2189
Epoch 11/100 - MSE: 0.2162
Epoch 12/100 - MSE: 0.2118
Epoch 13/100 - MSE: 0.2076
Epoch 14/100 - MSE: 0.2034
Epoch 15/100 - MSE: 0.1991
Epoch 16/100 - MSE: 0.1954
Epoch 17/100 - MSE: 0.1922
Epoch 18/100 - MSE: 0.1884
Epoch 19/100 - MSE: 0.1848
Epoch 20/100 - MSE: 0.1812
Epoch 21/100 - MSE: 0.1776
Epoch 22/100 - MSE: 0.1753
Epoch 23/100 - MSE: 0.1721
Epoch 24/100 - MSE: 0.1693
Epoch 25/100 - MSE: 0.1670
Epoch 26/100 - MSE: 0.1649
Epoch 27/100 - MSE: 0.1623
Epoch 28/100 - MSE: 0.1603
Epoch 29/100 - MSE: 0.1583
Epoch 30/100 - MSE: 0.1559
Epoch 31/100 - MSE: 0.1535
Epoch 32/100 - MSE: 0.1517
Epoch 33/100 - MSE: 0.1498
Epoch 34/100 - MSE: 0.1473
Epoch 35/100 - MSE: 0.1453
Epoch 36/100 - MSE: 0.1437
Epoch 37/100 - MSE: 0.1415
Epoch 38/100 - MSE: 0.1398
Epoch 39/100 - MSE: 0.1379
Epoch 40/100 - MSE: 0.1363
Epoch 41/100 - MSE: 0.1341
Epoch 42/100 - MSE: 0.1325
Epoch 43/100 - MSE: 0.1307
Epoch 44/100 - MSE: 0.1285
Epoch 45/100 - MSE: 0.1272
Epoch 46/100 - MSE: 0.1252
Epoch 47/100 - MSE: 0.1234
Epoch 48/100 - MSE: 0.1217
Epoch 49/100 - MSE: 0.1199
Epoch 50/100 - MSE: 0.1183
Epoch 51/100 - MSE: 0.1167
Epoch 52/100 - MSE: 0.1151
Epoch 53/100 - MSE: 0.1137
Epoch 54/100 - MSE: 0.1122
Epoch 55/100 - MSE: 0.1107
Epoch 56/100 - MSE: 0.1094
Epoch 57/100 - MSE: 0.1079
Epoch 58/100 - MSE: 0.1063
Epoch 59/100 - MSE: 0.1050
Epoch 60/100 - MSE: 0.1040
Epoch 61/100 - MSE: 0.1027
Epoch 62/100 - MSE: 0.1011
Epoch 63/100 - MSE: 0.1001
Epoch 64/100 - MSE: 0.0990
Epoch 65/100 - MSE: 0.0978
Epoch 66/100 - MSE: 0.0965
Epoch 67/100 - MSE: 0.0955
Epoch 68/100 - MSE: 0.0944
Epoch 69/100 - MSE: 0.0933
Epoch 70/100 - MSE: 0.0923
Epoch 71/100 - MSE: 0.0912
Epoch 72/100 - MSE: 0.0901
Epoch 73/100 - MSE: 0.0891
Epoch 74/100 - MSE: 0.0881
Epoch 75/100 - MSE: 0.0872
Epoch 76/100 - MSE: 0.0863
Epoch 77/100 - MSE: 0.0851
Epoch 78/100 - MSE: 0.0841
Epoch 79/100 - MSE: 0.0832
Epoch 80/100 - MSE: 0.0822
Epoch 81/100 - MSE: 0.0814
Epoch 82/100 - MSE: 0.0803
Epoch 83/100 - MSE: 0.0793
Epoch 84/100 - MSE: 0.0788
Epoch 85/100 - MSE: 0.0779
Epoch 86/100 - MSE: 0.0774
Epoch 87/100 - MSE: 0.0764
Epoch 88/100 - MSE: 0.0754
Epoch 89/100 - MSE: 0.0747
Epoch 90/100 - MSE: 0.0739
Epoch 91/100 - MSE: 0.0731
Epoch 92/100 - MSE: 0.0724
Epoch 93/100 - MSE: 0.0716
Epoch 94/100 - MSE: 0.0709
Epoch 95/100 - MSE: 0.0702
Epoch 96/100 - MSE: 0.0695
Epoch 97/100 - MSE: 0.0689
Epoch 98/100 - MSE: 0.0682
Epoch 99/100 - MSE: 0.0674
Epoch 100/100 - MSE: 0.0667
Saved outputs/rbm_generated.png
Done: ven. 20 mars 2026 23:47:59 CET
